Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
754-24-1409,C,Naypyitaw,Normal,Female,Electronic accessories,22.56,2,2.26,47.38,2024-03-27,18:05,Credit card,45.12,4.7619,2.26,6.5
130-21-4582,A,Yangon,Member,Female,Fashion accessories,68.48,9,30.82,647.14,2024-02-23,13:28,Credit card,616.32,4.7619,30.82,5.7
990-10-3615,C,Naypyitaw,Normal,Male,Home and lifestyle,23.99,6,7.2,151.14,2024-01-14,11:24,Ewallet,143.94,4.7619,7.2,6.2
452-87-5333,A,Yangon,Normal,Female,Sports and travel,17.09,5,4.27,89.72,2024-03-21,19:56,Cash,85.45,4.7619,4.27,7.5
821-18-1750,C,Naypyitaw,Member,Male,Health and beauty,86.97,2,8.7,182.64,2024-02-18,14:29,Credit card,173.94,4.7619,8.7,9.0
266-57-6820,A,Yangon,Normal,Female,Food and beverages,67.14,9,30.21,634.47,2024-02-01,12:29,Cash,604.26,4.7619,30.21,5.6
755-98-4598,C,Naypyitaw,Normal,Female,Electronic accessories,83.95,6,25.19,528.89,2024-02-21,14:04,Ewallet,503.7,4.7619,25.19,9.5
680-50-4483,C,Naypyitaw,Normal,Male,Fashion accessories,51.29,5,12.82,269.27,2024-01-18,13:47,Credit card,256.45,4.7619,12.82,7.2
864-84-8019,C,Naypyitaw,Normal,Male,Electronic accessories,99.75,3,14.96,314.21,2024-03-06,17:05,Ewallet,299.25,4.7619,14.96,9.2
256-90-3621,C,Naypyitaw,Normal,Female,Sports and travel,44.34,8,17.74,372.46,2024-03-08,14:35,Ewallet,354.72,4.7619,17.74,8.1
217-97-9797,B,Mandalay,Normal,Female,Home and lifestyle,49.12,8,19.65,412.61,2024-01-01,14:32,Ewallet,392.96,4.7619,19.65,7.0
208-90-5889,C,Naypyitaw,Member,Female,Home and lifestyle,78.62,9,35.38,742.96,2024-03-08,10:38,Cash,707.58,4.7619,35.38,6.9
214-56-6038,A,Yangon,Member,Female,Food and beverages,95.22,2,9.52,199.96,2024-03-03,11:48,Credit card,190.44,4.7619,9.52,8.6
231-94-8787,C,Naypyitaw,Member,Male,Food and beverages,88.51,7,30.98,650.55,2024-01-28,18:48,Credit card,619.57,4.7619,30.98,8.1
830-49-7537,C,Naypyitaw,Normal,Male,Food and beverages,50.63,4,10.13,212.65,2024-01-29,11:21,Ewallet,202.52,4.7619,10.13,7.5
335-85-4608,A,Yangon,Member,Female,Electronic accessories,16.07,1,0.8,16.87,2024-02-12,11:32,Ewallet,16.07,4.7619,0.8,5.7
597-37-9834,A,Yangon,Normal,Female,Sports and travel,82.67,4,16.53,347.21,2024-01-13,11:42,Cash,330.68,4.7619,16.53,6.1
520-69-1887,C,Naypyitaw,Member,Female,Sports and travel,75.53,2,7.55,158.61,2024-02-01,13:12,Credit card,151.06,4.7619,7.55,6.7
532-33-5563,B,Mandalay,Member,Female,Sports and travel,82.71,9,37.22,781.61,2024-01-13,10:41,Credit card,744.39,4.7619,37.22,9.0
195-40-3724,B,Mandalay,Normal,Male,Electronic accessories,87.81,1,4.39,92.2,2024-01-22,16:00,Cash,87.81,4.7619,4.39,5.6
902-68-5673,B,Mandalay,Normal,Female,Electronic accessories,36.7,1,1.84,38.54,2024-03-15,18:03,Credit card,36.7,4.7619,1.84,5.9
151-84-8811,C,Naypyitaw,Member,Female,Food and beverages,17.21,3,2.58,54.21,2024-01-09,19:04,Credit card,51.63,4.7619,2.58,9.2
513-25-5033,C,Naypyitaw,Member,Female,Sports and travel,69.16,10,34.58,726.18,2024-03-07,15:59,Cash,691.6,4.7619,34.58,5.2
